Datetime,kwh
20-01-2020 00:00,0.0842
20-01-2020 01:00,0.0861
20-01-2020 02:00,0.1089
20-01-2020 03:00,0.079
20-01-2020 04:00,0.0437
20-01-2020 05:00,0.1041
20-01-2020 06:00,0.0775
20-01-2020 07:00,0.1681
20-01-2020 08:00,0.0416
20-01-2020 09:00,0.0286
20-01-2020 10:00,0.1336
20-01-2020 11:00,0.1586
20-01-2020 12:00,0.3662
20-01-2020 13:00,0.2583
20-01-2020 14:00,0.2411
20-01-2020 15:00,0.2584
20-01-2020 16:00,0.2023
20-01-2020 17:00,0.2503
20-01-2020 18:00,0.237
20-01-2020 19:00,0.2082
20-01-2020 20:00,0.4539
20-01-2020 21:00,0.2816
20-01-2020 22:00,0.2558
20-01-2020 23:00,0.0755
21-01-2020 00:00,0.1017
21-01-2020 01:00,0.0912
21-01-2020 02:00,0.0891
21-01-2020 03:00,0.0977
21-01-2020 04:00,0.0989
21-01-2020 05:00,0.0749
21-01-2020 06:00,0.0918
21-01-2020 07:00,0.284
21-01-2020 08:00,0.1857
21-01-2020 09:00,0.1713
21-01-2020 10:00,0.1435
21-01-2020 11:00,0.1173
21-01-2020 12:00,0.2084
21-01-2020 13:00,0.1337
21-01-2020 14:00,0.077
21-01-2020 15:00,0.1589
21-01-2020 16:00,0.2406
21-01-2020 17:00,0.3
21-01-2020 18:00,0.2873
21-01-2020 19:00,0.6404
21-01-2020 20:00,0.5229
21-01-2020 21:00,0.2883
21-01-2020 22:00,0.1235
21-01-2020 23:00,0.0978
22-01-2020 00:00,0.0782
22-01-2020 01:00,0.1011
22-01-2020 02:00,0.0933
22-01-2020 03:00,0.0947
22-01-2020 04:00,0.078
22-01-2020 05:00,0.092
22-01-2020 06:00,0.0985
22-01-2020 07:00,0.1506
22-01-2020 08:00,0.1941
22-01-2020 09:00,0.1463
22-01-2020 10:00,0.1157
22-01-2020 11:00,0.1493
22-01-2020 12:00,0.128
22-01-2020 13:00,0.0978
22-01-2020 14:00,0.1402
22-01-2020 15:00,0.3225
22-01-2020 16:00,0.2518
22-01-2020 17:00,0.2266
22-01-2020 18:00,0.2536
22-01-2020 19:00,0.3481
22-01-2020 20:00,0.2778
22-01-2020 21:00,0.2975
22-01-2020 22:00,0.1556
22-01-2020 23:00,0.0771
23-01-2020 00:00,0.0972
23-01-2020 01:00,0.0933
23-01-2020 02:00,0.1095
23-01-2020 03:00,0.0714
23-01-2020 04:00,0.109
23-01-2020 05:00,0.0958
23-01-2020 06:00,0.086
23-01-2020 07:00,0.2433
23-01-2020 08:00,0.1675
23-01-2020 09:00,0.2235
23-01-2020 10:00,0.1364
23-01-2020 11:00,0.1107
23-01-2020 12:00,0.156
23-01-2020 13:00,0.1391
23-01-2020 14:00,0.2284
23-01-2020 15:00,0.2612
23-01-2020 16:00,0.2459
23-01-2020 17:00,0.2714
23-01-2020 18:00,0.2716
23-01-2020 19:00,0.471
23-01-2020 20:00,0.2121
23-01-2020 21:00,0.1882
23-01-2020 22:00,0.1932
23-01-2020 23:00,0.0924
24-01-2020 00:00,0.0976
24-01-2020 01:00,0.0898
24-01-2020 02:00,0.0862
24-01-2020 03:00,0.0859
24-01-2020 04:00,0.0984
24-01-2020 05:00,0.0982
24-01-2020 06:00,0.091
24-01-2020 07:00,0.0965
24-01-2020 08:00,0.2021
24-01-2020 09:00,0.124
24-01-2020 10:00,0.8997
24-01-2020 11:00,0.167
24-01-2020 12:00,0.1816
24-01-2020 13:00,0.1355
24-01-2020 14:00,0.1678
